Country:text,Fatalities (Number):number
Austria,590
Belgium,2165
Bulgaria,192
Croatia,721
Cyprus,75
Czech Republic,207
Denmark,42
Estonia,9
Finland,4
France,23404
Germany,9829
Greece,2405
Hungary,703
Iceland,52
Ireland,66
Italy,20629
Latvia,92
Liechtenstein,0
Lithuania,69
Luxembourg,130
Malta,7
Netherlands,1728
Norway,40
Poland,1187
Portugal,2995
Romania,1301
Slovakia,104
Slovenia,241
Spain,14602
Sweden,44
Switzerland ,1156
Turkey,1678
United Kingdom,3533
